,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-01 21:00:00,12.0,0.0,19.606,0.0,14.176,1.0,1,12.0,0,14.36691517172773,11.597859933333336,128.3046920961479,0.0,134.7061671241738,0.0,0.0,12.998065000000024
2022-11-01 21:15:00,12.0,0.0,19.572,0.0,14.35,1.0,1,12.0,0,14.371552462025369,11.597859933333336,132.78158161776707,0.0,136.5165149828655,0.0,0.0,13.029982500000033
2022-11-01 21:30:00,12.0,0.0,19.572,0.0,14.359,1.0,1,12.0,0,14.37722478047984,11.597859933333336,137.51006371355007,0.0,138.19709538348744,0.0,0.0,13.061900000000035
2022-11-01 21:45:00,12.0,0.0,19.538,0.0,14.421,1.0,1,12.0,0,14.368881763454686,11.597859933333336,142.5013079914575,0.0,139.7289232989434,0.0,0.0,13.080030000000036
2022-11-01 22:00:00,12.0,0.0,19.538,0.0,14.422,1.0,1,12.0,0,14.361143297744835,11.597859933333336,147.75910544129022,0.0,141.09199639216703,0.0,0.0,13.098160000000036
2022-11-01 22:15:00,12.0,0.0,19.538,0.0,14.297,1.0,1,12.0,0,14.354193731212453,11.597859933333336,153.27716636391295,0.0,142.26591454398203,0.0,0.0,13.116290000000037
2022-11-01 22:30:00,12.0,0.0,19.538,0.0,14.176,1.0,1,12.0,0,14.347938982363384,11.597859933333336,159.03659783109444,0.0,143.2307844199979,0.0,0.0,13.134420000000034
2022-11-01 22:45:00,12.0,0.0,19.538,0.0,14.299,1.0,1,12.0,0,14.314386258156352,11.597859933333336,165.00418086074285,0.0,143.96838681284356,0.0,0.0,13.112415000000029
2022-11-01 23:00:00,12.0,0.0,19.538,0.0,14.176,1.0,1,12.0,0,14.281110150398852,11.597690066666669,171.13216429915212,0.0,144.46350769073993,0.0,0.0,13.09041000000002
2022-11-01 23:15:00,12.0,0.0,19.538,0.0,14.054,1.0,1,12.0,0,14.247938550334588,11.597690066666669,177.36014924352537,0.0,144.70525046689883,0.0,0.0,13.068405000000013
2022-11-01 23:30:00,12.0,0.0,19.538,0.0,13.75,1.0,1,12.0,0,14.214686798243283,11.597690066666669,-176.38081004985509,0.0,144.68809207802394,0.0,0.0,13.046400000000006
2022-11-01 23:45:00,12.0,0.0,19.505,0.0,13.69,1.0,1,12.0,0,14.161742566777916,11.597690066666669,-170.16241619326732,0.0,144.41245650974736,0.0,0.0,12.982712500000003
2022-11-02 00:00:00,12.0,0.0,19.505,0.0,13.568,1.0,1,12.0,0,14.108705273653262,11.597690066666669,-164.05276263478345,0.0,143.88467091574947,0.0,0.0,12.919025000000005
